user_id,skill_id,correct
0,0,0
0,1,1
0,2,1
0,3,0
0,4,0
0,5,1
0,6,1
0,7,0
0,8,1
0,9,1
0,10,1
0,11,0
0,12,0
0,13,1
0,14,1
0,15,1
0,16,0
0,17,1
0,18,1
0,19,1
0,20,1
0,21,0
0,22,1
0,23,0
0,24,1
0,25,0
0,26,1
0,27,1
0,28,1
0,29,0
0,30,1
0,31,0
0,32,1
0,33,1
0,34,1
0,35,1
0,36,0
0,37,0
0,38,1
0,39,1
0,40,0
0,41,1
0,42,1
0,43,0
0,44,1
0,45,0
0,46,1
0,47,1
0,48,0
0,49,1
1,0,1
1,1,0
1,2,1
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,1
1,10,0
1,11,0
1,12,0
1,13,0
1,14,1
1,15,0
1,16,0
1,17,0
1,18,1
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,1
1,31,0
1,32,0
1,33,1
1,34,0
1,35,0
1,36,0
1,37,1
1,38,0
1,39,0
1,40,0
1,41,1
1,42,0
1,43,1
1,44,0
1,45,0
1,46,1
1,47,0
1,48,0
1,49,0
2,0,0
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,0
2,10,1
2,11,0
2,12,1
2,13,1
2,14,0
2,15,1
2,16,1
2,17,1
2,18,0
2,19,1
2,20,1
2,21,0
2,22,1
2,23,0
2,24,1
2,25,1
2,26,1
2,27,0
2,28,1
2,29,0
2,30,0
2,31,1
2,32,1
2,33,1
2,34,0
2,35,0
2,36,1
2,37,1
2,38,1
2,39,1
2,40,0
2,41,0
2,42,1
2,43,1
2,44,1
2,45,0
2,46,0
2,47,1
2,48,1
2,49,1
3,0,0
3,1,1
3,2,0
3,3,0
3,4,1
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,1
3,11,0
3,12,0
3,13,0
3,14,0
3,15,1
3,16,0
3,17,1
3,18,0
3,19,1
3,20,0
3,21,1
3,22,0
3,23,0
3,24,1
3,25,0
3,26,1
3,27,0
3,28,1
3,29,0
3,30,1
3,31,1
3,32,1
3,33,0
3,34,0
