user_id,correct,assignment_id
3009,1,0
3009,1,0
3009,1,0
3009,0,0
3009,1,1
3009,1,6
3009,0,17
3009,0,21
3009,1,21
3009,0,21
3009,0,22
3009,0,32
3009,0,41
3009,0,41
3009,0,41
3009,1,42
3009,1,43
3009,1,44
3009,1,45
3009,1,46
3009,1,47
3009,1,48
3009,1,49
3009,1,50
3009,1,51
3009,1,52
3009,1,53
3009,0,54
3009,1,54
3009,1,55
3009,1,55
3009,1,56
3009,1,57
3009,0,58
3009,0,58
3009,1,58
3009,1,58
3009,1,59
3009,1,60
3009,1,61
3009,1,61
3009,0,61
3009,1,61
3009,1,62
2068,1,0
2068,1,1
2068,1,2
2068,1,3
2068,1,4
2068,1,5
2068,1,6
2068,1,7
2068,0,8
2068,1,8
2068,0,8
2068,1,8
2068,1,9
2068,1,10
2068,1,11
2068,1,12
2068,1,13
2068,0,14
2068,0,14
2068,0,14
2068,0,14
2068,1,14
2068,1,15
2068,1,16
2068,1,17
2068,1,18
2068,1,19
2068,1,20
2068,1,21
2068,1,22
2068,0,23
2068,1,23
2068,1,24
2068,0,25
2068,1,25
2068,1,26
2068,1,27
2068,1,28
2068,1,29
2068,1,30
2068,1,31
2068,1,32
2068,1,33
2068,1,34
2068,1,35
2068,1,36
2068,0,37
2068,1,37
2068,1,38
2068,1,39
2068,1,40
2068,1,41
2068,1,42
2068,1,43
2068,1,44
2068,1,45
2068,1,46
2068,1,47
2068,1,48
2068,1,49
2068,1,50
2068,1,51
2068,1,52
2068,1,53
2068,0,54
2068,1,54
2068,1,55
2068,1,56
2068,1,57
2068,1,58
2068,1,59
2068,0,60
2068,0,60
2068,0,60
2068,0,60
2068,0,60
2068,1,60
2068,0,61
2068,1,61
2068,1,62
2068,1,63
687,1,0
687,1,1
687,1,2
687,0,3
687,0,3
687,0,3
687,1,3
687,1,4
687,0,5
687,1,5
687,1,6
687,1,7
687,1,8
687,1,9
687,1,10
687,1,11
687,0,12
687,0,12
687,1,12
687,1,13
687,1,14
687,1,15
687,1,16
687,0,17
687,1,17
687,1,18
687,1,19
